c_name	c_eyecolor	c_haircolor	c_skintone	c_skintype	c_skinconcerns	c_age
venusbobenus	brown	black	olive	normal	darkCircles	None
Laraibbb	brown	black	olive	dry	darkCircles	None
GV10	brown	brunette	olive	combination	aging	None
Cici13	brown	black	light	combination	acne	None
NTTInsider	None	None	None	None	None	None
tsiax	brown	black	tan	combination	blackheads	None
jennieyouknow	brown	brunette	medium	normal	aging	None
MaxB	blue	blonde	medium	combination	acne	None
Nicolery	hazel	brunette	light	combination	aging	None
kaylawils	blue	brunette	fair	dry	unevenSkinTones	25to34
OuttaHarmsWay	hazel	blonde	light	oily	acne	None
shawneedee	hazel	blonde	light	combination	acne	None
rachyb	hazel	brunette	fair	combination	acne	None
Lizzymom1984	green	brunette	fair	combination	acne	None
Acidfunk	green	brunette	porcelain	dry	None	25to34
anenasheff	blue	brunette	medium	dry	None	18to24
musicluva	brown	brunette	dark	oily	acne	None
bratpak2020	brown	black	dark	dry	acne	None
sceun11	brown	black	light	combination	None	18to24
queenstar	brown	black	medium	combination	acne	None
morganmm	green	brunette	olive	combination	acne	13to17
glowheaux	hazel	blonde	light	combination	acne	None
Doppelganger	brown	red	porcelain	combination	acne	None
Machar	brown	brunette	fair	dry	acne	None
lo77	hazel	brunette	light	combination	acne	None
sarahfield	hazel	brunette	fair	combination	acne	None
Patsylicious	brown	black	medium	combination	None	over54
jllows	green	red	fair	combination	sunDamage	35to44
shimmerbait	brown	brunette	light	combination	acne	None
glittersaurus	brown	brunette	light	combination	aging	None
Anabelle26	brown	black	medium	combination	acne	None
elly16	hazel	brunette	light	combination	acne	None
Kota97	green	brunette	fair	combination	redness	13to17
Bananas95	hazel	brunette	medium	oily	acne	None
imeeL	brown	black	light	combination	aging	None
KBakk	hazel	blonde	medium	oily	acne	None
Rairai287	brown	brunette	light	dry	acne	None
tayrezie	brown	brunette	fair	dry	darkCircles	None
musicluva	brown	brunette	dark	oily	acne	None
funkygirl	brown	brunette	medium	dry	aging	None
OliviaL3158	brown	brunette	light	combination	blackheads	None
ojm717	brown	brunette	medium	combination	acne	None
Katiimichelle	brown	black	medium	normal	acne	None
aislinn101	blue	blonde	porcelain	dry	aging	None
Carolinex099	green	brunette	medium	normal	sensitivity	None
dianajrich	green	black	medium	combination	acne	None
xoangelies	blue	black	tan	normal	darkCircles	35to44
ASM94	blue	blonde	light	dry	acne	None
stefaniestax	blue	black	light	combination	calluses	None
KaleighErin18	brown	blonde	fair	combination	acne	None
samoriarty	hazel	brunette	fair	combination	acne	None
conniecanxx	brown	brunette	light	combination	aging	None
Emberry1105	green	blonde	light	combination	acne	None
suechai3	brown	black	medium	combination	None	35to44
NOneRouge	blue	blonde	fair	normal	cuticles	None
Katiesque	blue	red	fair	oily	acne	None
TiffanySch	brown	blonde	light	oily	acne	None
miraaldini	brown	brunette	light	combination	acne	None
LexiLou05	green	blonde	porcelain	combination	acne	None
chertieu	brown	black	light	combination	acne	None
sarbear59	brown	brunette	fair	combination	None	None
nancyyng	brown	black	medium	dry	darkCircles	None
tabernathy	green	brunette	medium	combination	acne	None
jada25	brown	brunette	light	combination	blackheads	None
Pdosch	blue	blonde	medium	combination	blackheads	None
smilingaway	brown	black	light	oily	acne	None
AbbieJoAnn	green	blonde	fair	dry	darkCircles	None
Vikkibowlsb	blue	brunette	fair	combination	redness	None
Marlaynajulie	green	black	medium	combination	None	None
KatieJ11	brown	brunette	light	combination	acne	None
SamanthaGeri	brown	black	tan	oily	acne	None
Livprince	blue	blonde	porcelain	combination	acne	None
AbbyB97	blue	brunette	porcelain	combination	acne	None
jasmineyin	brown	black	medium	normal	acne	None
meredithm	blue	brunette	porcelain	combination	acne	None
mzchan	brown	auburn	dark	normal	aging	None
snewtsmcgoots	green	auburn	porcelain	combination	acne	None
blairxbianca	hazel	brunette	fair	oily	unevenSkinTones	over54
